student_id,age,gender,course_id,region,highest_education,disability,age_band,total_clicks,attendance_rate,time_spent_online,submission_delays,previous_attempts,forum_posts,assessment_1,assessment_2,assessment_3,days_since_last_access,clicks_per_day,avg_assessment_score,assessment_consistency,final_result
STU_0000,56,M,BBB,South,Lower Than A Level,N,0-35,1253,0.732716306873866,59.098019000311695,1,1,4,65.88590289588547,66.03833783541393,83.23280774176025,2.4202586910820654,366.3465583077253,71.71901615768655,8.141717942539815,Pass
STU_0001,46,F,GGG,West,HE Qualification,N,35-55,1809,0.9046134292445078,10.267012170389812,2,0,5,65.14176638678413,80.65499362862106,98.96267411276496,0.8934761571703107,955.3856768407608,81.58647804272339,13.823029027981146,Pass
STU_0002,32,F,BBB,North,HE Qualification,N,0-35,567,0.8519042883487059,27.755545041704377,1,0,4,96.83299741426103,70.88236074969086,75.63751783538535,1.1046652354649695,269.40151357359997,81.11762533311241,11.280737844193132,Pass
STU_0003,60,F,BBB,East,HE Qualification,N,55<=,1176,0.913976697161736,231.46944971652533,4,0,4,46.20208534513535,54.34648342313733,61.369100879450684,3.168710343750975,282.1016340851938,53.97255654924112,6.19755091601013,Pass
STU_0004,25,M,FFF,Central,HE Qualification,N,55<=,1083,0.9544759184444194,52.01493092539934,0,1,4,46.510468054797556,67.88674768909884,55.866189415205106,0.4887927816099854,727.435015387998,56.754468386367165,8.74940426158328,Pass
STU_0005,38,M,BBB,South,HE Qualification,N,35-55,632,0.6572171846119779,28.39303327326258,0,2,5,81.72277229070556,43.393904988892125,95.3636508758234,2.8808991731912172,162.84885842069272,73.4934427184737,22.000076072510293,Pass
STU_0006,56,M,EEE,Central,HE Qualification,N,55<=,1163,0.9396845015843049,38.862399745882186,2,1,4,51.70396590510478,89.29870374963058,99.15378368757011,5.73639258795066,172.64433223209858,80.05215111410183,20.444972546300857,Pass
STU_0007,36,M,DDD,West,A Level,N,55<=,275,0.8756623321942394,23.156723084159513,1,2,8,39.9470437088176,58.89264636238164,64.82439630417736,0.38494327811954043,198.56408875704406,54.554695458458866,10.60924224664817,Pass
STU_0008,40,M,AAA,Central,Lower Than A Level,N,55<=,719,0.9280969079125021,10.640938399151214,2,0,3,85.21400481954862,59.85568739416991,72.355039017707,6.832544403589965,91.79647927312787,72.47491041047518,10.352836729601199,Pass
STU_0009,28,M,CCC,West,Lower Than A Level,N,55<=,1813,0.9431383075676624,99.34154116371438,1,0,5,88.90104094255264,32.96932050353843,93.81289281501245,0.2483378069038656,1452.3312439736267,71.89441808703451,27.597149473786427,Pass
STU_0010,28,M,EEE,Central,HE Qualification,N,0-35,966,0.8941058489464259,5.555544637196065,1,0,4,50.37946333958793,58.87945225689124,84.30509435743129,1.2873186305226132,422.32856721815165,64.52133665130349,14.413194293878744,Pass
STU_0011,41,M,AAA,East,Lower Than A Level,N,0-35,175,0.673731956172569,65.47085803581973,0,0,3,43.07007665423161,98.28179983313603,69.01153913474239,2.828745989533033,45.70687125194837,70.12113854070334,22.553743255126918,Pass
STU_0012,53,F,GGG,East,Lower Than A Level,N,35-55,1005,0.6598640264726803,35.31958899614356,2,1,5,51.718356502162266,79.00737968667427,59.84545410888541,2.4589540356513155,290.55026162287817,63.52373009924065,11.440279200763307,Pass
STU_0013,57,F,GGG,East,Lower Than A Level,N,35-55,1282,0.9120049642358654,100.51545513211315,1,0,5,59.501358823489,87.9619481442261,58.53930013401259,0.30407584351856753,983.0716567381511,68.6675357005759,13.648862049996747,Pass
STU_0014,41,M,GGG,East,HE Qualification,N,35-55,1170,0.8770093484191768,35.887700229802114,0,2,5,98.70869269560482,70.0989943213809,87.25367780675778,4.812055389429746,201.30572088625524,85.35378827458116,11.756867367397758,Pass
STU_0015,20,M,EEE,East,HE Qualification,N,55<=,123,0.9361433627205218,47.035037469054494,2,0,2,63.55379370568231,20.837170618744764,66.12795522022631,10.852836345838325,10.377262995214373,50.17297318155113,20.770147822916545,Pass
STU_0016,39,F,EEE,East,Lower Than A Level,N,55<=,1700,0.8432764396471386,37.550608659797376,2,0,4,82.47786555420393,69.25283732548775,65.49409687896745,0.5998499260703675,1062.59966781736,72.40826658621971,7.283755897799732,Pass
STU_0017,19,M,CCC,West,Lower Than A Level,N,0-35,1264,0.8665198157821885,63.12086028886509,1,0,4,80.82650883791733,71.62183347547662,81.79045865872362,6.765129116897901,162.77900611457656,78.07960032403919,4.583256798176993,Pass
STU_0018,41,M,DDD,South,HE Qualification,N,0-35,1755,0.8148465793576234,17.01415616814254,1,0,7,89.83631773155761,84.12150454093513,73.28962878425301,2.441266344539323,509.98668056742326,82.41581701891526,6.861984951979703,Pass
STU_0019,61,M,BBB,Central,A Level,N,35-55,1892,0.8195330625201716,27.138742669510563,2,0,2,60.61028871204668,67.33867449981355,78.23104028347251,8.243513719176796,204.68406901098825,68.72666783177759,7.26028537559688,Pass
STU_0020,47,F,GGG,East,Lower Than A Level,N,0-35,1789,0.8374251964155545,96.72048625034454,1,0,3,69.8470880822664,54.10776183795617,66.81546542647726,0.5810672189434745,1131.5141940615742,63.59010511556661,6.818299372893821,Pass
STU_0021,55,F,FFF,West,A Level,N,0-35,105,0.9122727639367312,67.9921149183566,1,0,4,66.71201168838188,66.21439101494965,66.1502188960949,4.710960169183761,18.38569993301269,66.35887386647546,0.25107668968554203,Pass
